3000 20000
-1974 813 2983
2013 -1269 -1285
-2769 2446 318
1629 -831 857
-349 2455 -2844
742 630 951
2689 1674 -292
-2309 -430 50
-2700 81 -734
352 -710 2698
1964 1630 444
-2728 -1460 -1616
-2076 -211 -249
807 1501 -1640
959 2546 -2037
-2938 -108 1764
2299 2743 -756
1351 -284 -2912
873 -138 1656
482 2318 2052
-1514 -2107 -1103
-2759 -1321 -2159
2529 -256 -1275
1361 -861 982
880 -2664 -2566
-2654 921 -841
-1526 2597 1072
-1422 2727 1631
-1359 -1696 919
647 2642 -801
1942 -1141 605
2209 -813 2555
-1553 2079 -2066
-1913 1465 2162
798 -117 1762
-2485 889 -566
319 333 637
1965 924 -182
431 2652 -1027
-2950 548 -2740
-1702 -1271 -812
933 -2915 239
-1403 -2725 -2279
-2876 869 -2750
-2138 294 1544
1947 652 -2360
115 2466 2556
-1491 2825 2629
1230 929 -603
1279 -1296 1552
2365 2446 1472
-729 324 1863
1432 -1343 -1266
736 2659 -1185
979 -703 1207
-1574 -1636 771
2753 -681 -858
2494 552 -1893
-216 -2640 -878
-2799 2311 1817
-2476 2858 376
1427 1348 290
479 1922 1958
-1746 1151 -2021
592 2972 1010
-1068 -1028 1705
-963 -626 327
-2993 -2195 91
1306 -228 889
-2913 1803 -2209
2551 1695 -2862
-1746 -1968 -1079
-1062 -1078 -2403
483 -792 2526
1227 1491 -2766
1201 -1717 1159
486 -2502 -910
2059 -598 -2450
-346 640 1538
1903 2271 -2794
-2680 228 2948
1096 2262 -2134
-1246 1106 -2349
2715 -2345 554
-514 189 -2315
888 -1231 1577
1476 -707 1391
-2078 -1158 -769
2833 -2281 -1432
-1291 557 -551
-962 -2059 -2013
-369 973 -1509
2507 2482 978
255 2372 -2182
-2468 2774 -2262
2730 1390 2308
-2847 -44 2438
-1705 1344 -1506
-2283 -2002 -553
2092 729 1344
-2140 295 2011
-127 -531 -1372
2925 1908 -1382
4 -1291 1067
1023 -162 -313
-250 -1205 2167
-1595 -950 -319
1592 2335 -1799
2346 1301 900
936 1528 -379
-791 1161 -1402
-837 -1621 300
2999 -2331 -1083
-574 1710 2823
-949 -1699 2607
500 -2184 -286
2492 -2589 -1568
-1633 -466 -2061
999 2349 2320
2547 814 -678
-521 1654 185
-606 -513 -607
2200 -761 1953
-808 -2335 -2622
-1204 -2847 837
259 -176 1900
772 1730 1528
-2035 2924 -1097
-2453 2950 583
-2330 -2965 857
1839 797 252
462 -2841 -250
-2405 1816 -2487
2589 -2024 -1075
1442 -1287 -1452
2158 -222 182
-2690 1011 1150
58 957 -2906
-2307 2833 1726
-1833 574 -208
-2207 -416 -468
-1790 -2904 -475
1638 1465 -1083
-727 573 2212
2147 -265 958
-1944 420 -2377
1817 1300 1838
-1689 731 826
-1255 2756 -1124
-1726 -341 935
2011 -899 -1701
1059 1434 381
-2671 647 -2626
-1658 1834 1294
2252 2236 717
-461 2251 -1453
-2168 884 -133
2178 718 -1417
2802 1125 1258
-2887 1379 1067
-1535 2255 1270
-675 967 -1292
-2986 1284 -1772
2596 -799 -964
-2300 -518 -728
-1573 903 1764
-2914 2618 771
2304 2805 -2309
1847 1904 -1955
2614 737 464
-56 45 -2826
1292 -2934 586
-1526 2056 2574
-1177 -2128 1263
-1772 335 -2290
-583 -2576 538
1332 -1662 391
-2280 -1648 1271
2663 -2838 -705
-1338 508 -2059
1265 -36 688
490 2881 -52
693 1154 817
-1139 523 -2185
706 2859 -300
2536 -63 425
1261 -31 -2335
-2984 -225 -2013
-1528 -2196 -2063
2807 -2357 2211
1001 590 86
13 -2342 -851
-2792 -792 1751
1987 -1683 -1786
-1641 2233 1684
-525 -2534 -896
1794 -360 -2403
2236 1786 -2526
1791 1323 181
416 25 -1907
-669 -2624 -1334
-1214 -2520 -643
-588 2803 506
-2174 2765 -947
-1538 -260 -1711
547 1417 718
383 2541 -1848
354 1749 2629
-2804 -1573 -1864
-68 -2431 1160
-886 -2470 472
376 -1115 2749
2331 -1966 -359
906 -2152 91
449 -1770 -2665
2983 10 2904
2340 2048 -46
-38 -2943 -1844
1269 -2102 -2271
-2078 -2501 -1921
-1751 -2039 2731
1600 2728 -2641
-1087 1832 -502
-289 -754 -2850
-155 -2649 1481
-476 -1680 2337
-621 -2869 -1705
2946 -2020 -2494
-3000 -153 1133
2374 557 802
-2454 2767 -1194
193 390 2785
-1361 2827 -1292
965 946 1805
-1875 -763 -2671
1354 -301 891
1779 1417 -1065
182 2559 1274
1345 -1496 -2499
-2721 470 1942
566 -2849 -478
1214 -2074 -2639
329 -1135 -2434
-758 -2979 2929
-412 280 -442
-2037 -2971 -2549
645 -191 -166
-2469 1995 -578
-1429 20 69
-257 -137 -2502
1955 -1388 -1421
-1880 -1213 334
-132 -109 2899
941 -2380 -2030
445 -2585 -134
-39 148 1335
-471 -736 2958
112 -862 -377
-2197 23 743
-2378 1219 -990
-415 -1429 -804
-167 -2655 516
-1679 -921 -1750
2700 1630 2793
2788 1631 2498
2816 156 -2060
-1500 -1652 2217
43 805 -2036
-1957 1052 -2760
-1501 890 -1208
-1840 707 -1741
1019 -2234 -1333
-1194 1586 1794
-2506 2774 -2475
35 2595 572
-2839 -1279 935
