29 125
11 -3 -1
-15 15 -12
-18 22 28
18 25 7
12 -5 22
10 -8 -7
-21 -22 -9
18 -28 29
-27 22 25
-5 9 8
-4 26 20
-24 -13 -8
25 -15 11
7 -13 -14
1 -28 -11
11 -11 4
4 5 21
-26 5 5
-16 -5 25
-25 -13 -15
5 7 -11
10 -8 -7
26 16 -18
-5 -9 -18
-23 7 -3
18 3 -23
9 13 2
14 -21 -5
-23 16 20
-16 1 9
27 25 -25
24 18 18
17 -11 -2
7 14 -23
-27 -22 -23
27 -13 -5
17 27 -16
-21 -1 19
23 -26 -4
13 1 8
18 29 12
-5 -5 7
-14 14 -19
-22 22 -29
13 -8 -28
18 5 15
-24 23 5
-17 20 -4
-11 -13 13
-24 -23 23
-16 15 -3
-5 28 22
1 -14 -21
13 -29 27
-2 -19 -22
-23 -7 -1
-12 20 -8
-14 23 -9
-27 -2 1
-6 -13 21
1 27 -16
14 23 -24
27 -4 -14
-27 15 1
8 -28 8
7 6 23
7 12 20
23 -28 -8
-9 -5 19
-27 -3 25
7 19 -2
26 13 27
-12 15 -25
-19 -4 -21
-12 8 -29
-21 -10 -16
-29 13 11
-3 -10 16
15 -2 -22
6 -28 -5
-12 -24 -15
-16 -8 -14
-4 19 27
-17 20 -12
25 6 -27
2 -1 -5
25 -10 -17
-8 -19 8
26 4 -9
25 -3 -10
-15 -28 12
11 -2 -3
-5 3 5
-25 -15 -25
1 5 -2
14 12 -11
-12 -13 24
27 2 4
12 -13 6
-18 25 20
28 24 25
20 22 -2
-13 -1 2
24 -22 -2
14 1 19
-8 7 26
20 -7 12
-25 -24 -24
18 18 -5
-28 -16 -21
-3 -5 15
-6 17 -28
-20 -18 14
-27 -3 -15
-23 6 25
6 -2 18
-27 -9 -2
-27 2 -22
-4 6 -2
21 -4 7
-28 25 22
-9 28 -5
-4 19 10
5 -18 -26
-5 -18 -6
